created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-05-14T17:43:47+02:00,89,906,3138,4.10200,1718,,,,
2023-05-15T07:55:10+02:00,90,899,3114,4.10100,1742,,,,
2023-05-15T13:38:57+02:00,91,892,3090,4.10200,1767,,,,
2023-05-16T10:33:41+02:00,92,878,3041,4.09900,1815,,,,
2023-05-16T12:33:17+02:00,93,870,3014,4.10100,1843,,,,
2023-05-16T15:32:38+02:00,94,863,2989,4.10200,1867,,,,
2023-05-17T08:43:20+02:00,95,856,2965,4.09900,1891,,,,
2023-05-17T16:11:45+02:00,96,849,2941,4.10100,1916,,,,
2023-05-18T10:22:09+02:00,97,835,2892,4.09600,1964,,,,
2023-05-18T10:37:08+02:00,98,828,2868,4.09400,1988,,,,
2023-05-18T13:21:40+02:00,99,821,2844,4.09800,2013,,,,
2023-05-18T22:19:28+02:00,100,814,2820,4.09800,2037,,,,
2023-05-19T11:16:19+02:00,101,806,2792,4.09400,2065,,,,
2023-05-19T11:46:16+02:00,102,797,2761,4.09400,2096,,,,
2023-05-19T15:30:34+02:00,103,783,2712,4.09600,2144,,,,
2023-05-20T10:55:38+02:00,104,776,2688,4.09300,2168,,,,
2023-05-20T13:40:08+02:00,105,768,2660,4.09400,2196,,,,
2023-05-20T18:09:05+02:00,106,761,2636,4.09400,2220,,,,
2023-05-21T09:50:03+02:00,107,751,2601,4.09300,2255,,,,
2023-05-21T15:03:59+02:00,108,743,2574,4.09400,2283,,,,
2023-05-21T16:33:39+02:00,109,733,2539,4.09400,2317,,,,
2023-05-22T08:59:27+02:00,110,726,2515,4.09300,2342,,,,
2023-05-22T13:13:30+02:00,111,715,2477,4.09000,2380,,,,
2023-05-22T15:13:04+02:00,112,692,2397,4.09300,2459,,,,
2023-05-22T18:12:24+02:00,113,685,2373,4.09100,2484,,,,
2023-05-23T09:08:40+02:00,114,675,2338,4.09100,2518,,,,
2023-05-23T14:37:24+02:00,115,667,2310,4.09000,2546,,,,
2023-05-23T20:06:05+02:00,116,659,2283,4.09100,2574,,,,
2023-05-24T13:02:02+02:00,117,651,2255,4.08800,2601,,,,
2023-05-24T13:17:01+02:00,118,660,2286,4.09000,2601,,,,
2023-05-24T13:46:58+02:00,119,652,2259,4.09000,2629,,,,
2023-05-24T18:45:44+02:00,120,644,2231,4.09100,2657,,,,
2023-05-25T07:27:29+02:00,121,637,2207,4.08800,2681,,,,
2023-05-26T07:21:35+02:00,122,639,2213,4.08600,2681,,,,
2023-05-26T10:05:59+02:00,123,626,2168,4.08600,2726,,,,
2023-05-26T13:05:24+02:00,124,619,2144,4.08600,2750,,,,
2023-05-26T15:34:53+02:00,125,626,2168,4.08600,2750,,,,
2023-05-26T16:19:44+02:00,126,616,2134,4.08800,2785,,,,
2023-05-26T17:04:36+02:00,127,624,2162,4.08800,2785,,,,
2023-05-26T18:34:14+02:00,128,616,2134,4.08800,2813,,,,
2023-05-27T11:44:53+02:00,129,609,2110,4.08600,2837,,,,
2023-05-27T14:44:21+02:00,130,601,2082,4.08500,2865,,,,
2023-05-27T15:59:05+02:00,131,583,2020,4.08600,2927,,,,
2023-05-27T16:14:04+02:00,132,557,1929,4.08600,3017,,,,
2023-05-27T16:29:06+02:00,133,549,1902,4.08300,3045,,,,
2023-05-27T17:13:56+02:00,134,537,1860,4.08600,3086,,,,
2023-05-27T17:28:54+02:00,135,527,1826,4.08300,3121,,,,
2023-05-27T18:28:41+02:00,136,512,1774,4.08600,3173,,,,
2023-05-28T12:24:15+02:00,137,505,1749,4.08500,3197,,,,
2023-05-28T14:23:54+02:00,138,498,1725,4.08300,3222,,,,
2023-05-28T17:38:09+02:00,139,491,1701,4.08500,3246,,,,
2023-05-28T20:22:26+02:00,140,484,1677,4.08500,3270,,,,
2023-05-29T02:05:54+02:00,141,491,1701,4.08300,3270,,,,
2023-05-29T10:48:45+02:00,142,481,1666,4.08300,3305,,,,
2023-05-29T12:33:27+02:00,143,468,1621,4.08500,3350,,,,
2023-05-29T13:33:18+02:00,144,459,1590,4.08200,3381,,,,
2023-05-29T19:01:59+02:00,145,449,1555,4.08300,3416,,,,
2023-05-29T22:45:57+02:00,146,456,1580,4.08200,3416,,,,
2023-05-30T11:27:49+02:00,147,449,1555,4.07900,3440,,,,
2023-05-30T12:57:34+02:00,148,442,1531,4.08000,3464,,,,
2023-05-30T17:11:41+02:00,149,434,1503,4.08300,3492,,,,
2023-05-31T08:37:39+02:00,150,427,1479,4.07900,3516,,,,
2023-05-31T16:06:07+02:00,151,420,1455,4.08000,3540,,,,
2023-05-31T20:49:52+02:00,152,411,1424,4.07900,3571,,,,
2023-06-01T07:17:07+02:00,153,418,1448,4.07900,3571,,,,
2023-06-01T08:31:55+02:00,154,407,1410,4.07900,3609,,,,
2023-06-01T12:01:10+02:00,155,414,1434,4.07700,3609,,,,
2023-06-01T13:30:56+02:00,156,407,1410,4.07500,3634,,,,
2023-06-02T08:26:07+02:00,157,422,1462,4.07700,3634,,,,
2023-06-02T08:41:05+02:00,158,476,1649,4.07700,3634,,,,
